ensembl_gene_id	external_gene_id	chromosome_name	start_position	end_position	strand	gene_biotype
ENSG00000222203	Y_RNA	X	100543905	100543999	-1	misc_RNA
ENSG00000200662	Y_RNA	X	102411048	102411139	-1	misc_RNA
ENSG00000202407	Y_RNA	X	105669798	105669899	1	misc_RNA
ENSG00000199832	Y_RNA	X	106445807	106445913	1	misc_RNA
ENSG00000207363	Y_RNA	X	107144375	107144476	-1	misc_RNA
ENSG00000207146	Y_RNA	X	107920181	107920287	-1	misc_RNA
ENSG00000252069	Y_RNA	X	108987872	108987978	-1	misc_RNA
ENSG00000200436	Y_RNA	X	111904885	111904996	1	misc_RNA
ENSG00000212241	Y_RNA	X	114373593	114373686	-1	misc_RNA
ENSG00000200291	Y_RNA	X	117048207	117048308	-1	misc_RNA
ENSG00000206862	Y_RNA	X	117703368	117703478	-1	misc_RNA
ENSG00000252147	Y_RNA	X	118590521	118590621	1	misc_RNA
ENSG00000199705	Y_RNA	X	122990912	122991013	-1	misc_RNA
ENSG00000200572	Y_RNA	X	133276258	133276370	-1	misc_RNA
ENSG00000199424	Y_RNA	X	135653864	135653974	-1	misc_RNA
ENSG00000202279	Y_RNA	X	135898636	135898733	-1	misc_RNA
ENSG00000252163	7SK	X	137479510	137479787	1	misc_RNA
ENSG00000202473	7SK	X	142178133	142178463	1	misc_RNA
ENSG00000199878	7SK	X	142285034	142285377	-1	misc_RNA
ENSG00000201912	7SK	X	144138628	144138957	1	misc_RNA
ENSG00000222313	7SK	X	147903688	147903972	-1	misc_RNA
ENSG00000207157	Y_RNA	13	23726725	23726825	-1	misc_RNA
ENSG00000207474	Y_RNA	13	25277694	25277803	-1	misc_RNA
ENSG00000223158	Y_RNA	13	26524842	26524959	-1	misc_RNA
ENSG00000201242	Y_RNA	13	27976613	27976724	-1	misc_RNA
ENSG00000207325	Y_RNA	13	33337576	33337690	-1	misc_RNA
ENSG00000202395	7SK	13	37740489	37740795	-1	misc_RNA
ENSG00000200526	Y_RNA	13	40359552	40359647	-1	misc_RNA
ENSG00000207458	Y_RNA	13	40800964	40801069	1	misc_RNA
ENSG00000252812	7SK	13	40981259	40981577	-1	misc_RNA
ENSG00000223341	7SK	13	45634864	45635221	1	misc_RNA
ENSG00000201061	7SK	13	45697228	45697549	1	misc_RNA
ENSG00000252854	7SK	13	46824077	46824348	1	misc_RNA
ENSG00000199788	Y_RNA	13	49669527	49669628	1	misc_RNA
ENSG00000222148	Y_RNA	13	50463770	50463864	-1	misc_RNA
ENSG00000200064	Y_RNA	13	50482770	50482866	-1	misc_RNA
ENSG00000206920	Y_RNA	13	52160560	52160668	-1	misc_RNA
ENSG00000199605	Y_RNA	13	52974139	52974234	1	misc_RNA
ENSG00000201665	7SK	13	57459418	57459736	-1	misc_RNA
ENSG00000222733	Y_RNA	13	59101789	59101885	-1	misc_RNA
ENSG00000202151	Y_RNA	13	60761872	60761964	-1	misc_RNA
ENSG00000206854	Y_RNA	13	61363694	61363795	1	misc_RNA
ENSG00000253018	Y_RNA	13	61390831	61390923	-1	misc_RNA
ENSG00000207495	Y_RNA	13	70377072	70377173	1	misc_RNA
ENSG00000206697	Y_RNA	13	73801284	73801397	1	misc_RNA
ENSG00000206617	Y_RNA	13	74863237	74863351	-1	misc_RNA
ENSG00000206800	Y_RNA	13	78197507	78197607	1	misc_RNA
ENSG00000200686	Y_RNA	13	78929362	78929463	-1	misc_RNA
ENSG00000223298	Y_RNA	13	95963084	95963209	-1	misc_RNA
ENSG00000200211	Y_RNA	13	95988360	95988455	-1	misc_RNA
ENSG00000222472	7SK	13	97601503	97601787	-1	misc_RNA
ENSG00000222969	7SK	13	98856089	98856446	-1	misc_RNA
ENSG00000201793	7SK	13	99857962	99858260	1	misc_RNA
ENSG00000212197	Y_RNA	13	100188573	100188650	-1	misc_RNA
ENSG00000201690	Y_RNA	13	102669303	102669419	-1	misc_RNA
ENSG00000222301	Y_RNA	13	103472343	103472419	1	misc_RNA
ENSG00000201161	7SK	13	110567443	110567767	1	misc_RNA
ENSG00000207243	Y_RNA	16	228553	228655	1	misc_RNA
ENSG00000201034	Y_RNA	16	489297	489397	-1	misc_RNA
ENSG00000200059	Y_RNA	16	2181852	2181951	1	misc_RNA
ENSG00000200980	Y_RNA	16	5001774	5001892	-1	misc_RNA
ENSG00000199668	Y_RNA	16	11408924	11409035	1	misc_RNA
ENSG00000201075	Y_RNA	16	14369362	14369457	1	misc_RNA
ENSG00000207425	Y_RNA	16	15009314	15009413	-1	misc_RNA
ENSG00000207294	Y_RNA	16	15244554	15244653	1	misc_RNA
ENSG00000206706	Y_RNA	16	16407969	16408068	-1	misc_RNA
ENSG00000206927	Y_RNA	16	18491794	18491893	1	misc_RNA
ENSG00000252838	7SK	16	23424905	23425197	-1	misc_RNA
ENSG00000201371	Y_RNA	16	27733605	27733713	-1	misc_RNA
ENSG00000200138	Y_RNA	16	28194639	28194751	1	misc_RNA
ENSG00000222375	7SK	16	29742372	29742725	-1	misc_RNA
ENSG00000202476	Y_RNA	16	30465318	30465418	-1	misc_RNA
ENSG00000222701	Y_RNA	16	30482908	30483024	1	misc_RNA
ENSG00000222767	Y_RNA	16	47346938	47347032	-1	misc_RNA
ENSG00000202124	Y_RNA	16	50132175	50132269	1	misc_RNA
ENSG00000223168	7SK	16	51705147	51705474	-1	misc_RNA
ENSG00000212582	Y_RNA	16	53284742	53284835	-1	misc_RNA
ENSG00000207173	Y_RNA	16	58116972	58117072	-1	misc_RNA
ENSG00000201289	7SK	16	61777058	61777380	-1	misc_RNA
ENSG00000223154	Y_RNA	16	66584360	66584470	1	misc_RNA
ENSG00000201201	7SK	16	67355561	67355890	-1	misc_RNA
ENSG00000201850	Y_RNA	16	68123352	68123446	-1	misc_RNA
ENSG00000199263	Y_RNA	16	68508456	68508567	-1	misc_RNA
ENSG00000199979	Y_RNA	16	68919479	68919580	-1	misc_RNA
ENSG00000200164	Y_RNA	16	69225026	69225126	1	misc_RNA
ENSG00000252670	Y_RNA	16	69814940	69815031	1	misc_RNA
ENSG00000207525	Y_RNA	16	74497786	74497886	-1	misc_RNA
ENSG00000252814	7SK	16	76321527	76321636	1	misc_RNA
ENSG00000200543	7SK	16	81995531	81995848	1	misc_RNA
ENSG00000251888	7SK	16	82226110	82226395	-1	misc_RNA
ENSG00000199949	Y_RNA	16	86309036	86309129	-1	misc_RNA
ENSG00000222658	Y_RNA	9	12885320	12885416	1	misc_RNA
ENSG00000252960	7SK	9	18651145	18651448	1	misc_RNA
ENSG00000201118	Y_RNA	9	19089591	19089686	1	misc_RNA
ENSG00000199635	Y_RNA	9	21160234	21160335	-1	misc_RNA
ENSG00000223088	RNase_MRP	9	24905467	24905733	1	misc_RNA
ENSG00000222693	7SK	9	25088809	25089149	-1	misc_RNA
ENSG00000252527	Y_RNA	9	32820249	32820356	1	misc_RNA
ENSG00000200544	Y_RNA	9	33352786	33352872	-1	misc_RNA
ENSG00000200834	Y_RNA	9	33830976	33831076	1	misc_RNA
ENSG00000222259	7SK	9	34049964	34050242	1	misc_RNA
ENSG00000200141	Y_RNA	9	34194810	34194905	-1	misc_RNA
ENSG00000207032	Y_RNA	9	34389941	34390049	-1	misc_RNA
ENSG00000251697	7SK	9	34478620	34478903	1	misc_RNA
ENSG00000199916	RNase_MRP	9	35657751	35658014	-1	misc_RNA
ENSG00000200502	Y_RNA	9	37160134	37160234	1	misc_RNA
ENSG00000206784	Y_RNA	9	37322256	37322368	1	misc_RNA
ENSG00000201287	7SK	9	37661744	37662046	-1	misc_RNA
ENSG00000238933	Y_RNA	9	44850221	44850332	1	misc_RNA
ENSG00000238749	Y_RNA	9	45019792	45019903	-1	misc_RNA
ENSG00000238930	Y_RNA	9	45755239	45755350	-1	misc_RNA
ENSG00000238413	Y_RNA	9	46141564	46141675	-1	misc_RNA
ENSG00000239090	Y_RNA	9	46362605	46362716	1	misc_RNA
ENSG00000199432	Y_RNA	9	67764522	67764633	1	misc_RNA
ENSG00000239180	Y_RNA	9	72926523	72926617	-1	misc_RNA
ENSG00000200922	Y_RNA	9	74517371	74517466	-1	misc_RNA
ENSG00000202217	7SK	9	77414811	77415138	1	misc_RNA
ENSG00000252159	Y_RNA	9	77462422	77462517	1	misc_RNA
ENSG00000200041	Y_RNA	9	77796436	77796537	-1	misc_RNA
ENSG00000222452	7SK	9	80780381	80780694	1	misc_RNA
ENSG00000251776	7SK	9	85815855	85816143	-1	misc_RNA
ENSG00000202523	Y_RNA	9	86607847	86607948	1	misc_RNA
ENSG00000223012	7SK	9	88873273	88873561	-1	misc_RNA
ENSG00000201074	Y_RNA	9	96180137	96180248	1	misc_RNA
ENSG00000201938	Y_RNA	9	98865361	98865456	-1	misc_RNA
ENSG00000201830	Y_RNA	9	100677972	100678078	1	misc_RNA
ENSG00000222337	7SK	9	102046304	102046655	1	misc_RNA
ENSG00000200966	7SK	9	103343361	103343661	-1	misc_RNA
ENSG00000201583	7SK	9	107859037	107859342	1	misc_RNA
ENSG00000200131	7SK	9	109442258	109442610	1	misc_RNA
ENSG00000199331	Y_RNA	9	111804666	111804767	-1	misc_RNA
ENSG00000207329	Y_RNA	9	112086965	112087076	1	misc_RNA
ENSG00000207401	Y_RNA	9	113696686	113696787	1	misc_RNA
ENSG00000212409	Y_RNA	9	113859605	113859693	-1	misc_RNA
ENSG00000200261	Y_RNA	9	114931566	114931677	1	misc_RNA
ENSG00000201749	Y_RNA	9	117377735	117377848	-1	misc_RNA
ENSG00000201140	7SK	9	119959397	119959699	1	misc_RNA
ENSG00000222413	7SK	9	120039264	120039565	1	misc_RNA
ENSG00000222351	Y_RNA	9	125708267	125708373	-1	misc_RNA
ENSG00000253079	NRON	9	129170320	129170689	-1	misc_RNA
ENSG00000200788	Y_RNA	9	130233154	130233266	1	misc_RNA
ENSG00000222421	Y_RNA	9	130594914	130595022	-1	misc_RNA
ENSG00000222296	Y_RNA	9	130596230	130596321	-1	misc_RNA
ENSG00000223188	Y_RNA	9	132883085	132883191	1	misc_RNA
ENSG00000201843	Y_RNA	9	136177953	136178046	1	misc_RNA
ENSG00000201451	Y_RNA	9	136204565	136204661	-1	misc_RNA
ENSG00000199223	Y_RNA	19	6572967	6573068	-1	misc_RNA
ENSG00000202357	Y_RNA	19	11519448	11519556	1	misc_RNA
ENSG00000199444	Y_RNA	19	12199060	12199161	-1	misc_RNA
ENSG00000201967	7SK	19	33353706	33353998	-1	misc_RNA
ENSG00000200179	Y_RNA	19	36694249	36694361	-1	misc_RNA
ENSG00000206669	Y_RNA	19	37349129	37349231	-1	misc_RNA
ENSG00000200209	Y_RNA	19	38785184	38785276	1	misc_RNA
ENSG00000207281	Y_RNA	19	40844966	40845071	-1	misc_RNA
ENSG00000206925	Y_RNA	19	40848236	40848348	1	misc_RNA
ENSG00000222614	Y_RNA	19	47239569	47239676	1	misc_RNA
ENSG00000207073	Y_RNA	19	50069929	50070029	1	misc_RNA
ENSG00000207265	Y_RNA	19	52762329	52762440	-1	misc_RNA
ENSG00000222524	7SK	19	56248651	56248966	1	misc_RNA
ENSG00000223060	Y_RNA	19	56616785	56616879	1	misc_RNA
ENSG00000200646	Y_RNA	19	56827893	56828005	-1	misc_RNA
ENSG00000238476	Y_RNA	GL000223.1	18464	18566	1	misc_RNA
ENSG00000199540	Y_RNA	5	144202	144312	-1	misc_RNA
ENSG00000201026	Y_RNA	5	2184824	2184934	1	misc_RNA
ENSG00000223007	7SK	5	5126159	5126450	1	misc_RNA
ENSG00000200243	7SK	5	6848240	6848575	-1	misc_RNA
ENSG00000252341	Y_RNA	5	10292153	10292260	-1	misc_RNA
ENSG00000252671	Y_RNA	5	10337389	10337498	1	misc_RNA
ENSG00000201370	Y_RNA	5	16623113	16623204	-1	misc_RNA
ENSG00000206814	Y_RNA	5	17117685	17117795	-1	misc_RNA
ENSG00000201715	7SK	5	17345725	17346064	1	misc_RNA
ENSG00000206912	Y_RNA	5	23299264	23299371	1	misc_RNA
ENSG00000200600	Y_RNA	5	23994611	23994712	-1	misc_RNA
ENSG00000199911	Y_RNA	5	24910703	24910804	1	misc_RNA
ENSG00000223136	7SK	5	29948935	29949237	1	misc_RNA
ENSG00000206682	Y_RNA	5	31505791	31505895	1	misc_RNA
ENSG00000200065	Y_RNA	5	32134844	32134940	1	misc_RNA
ENSG00000199487	Y_RNA	5	41963970	41964071	-1	misc_RNA
ENSG00000207229	Y_RNA	5	54336675	54336773	1	misc_RNA
ENSG00000207293	Y_RNA	5	56464935	56465036	-1	misc_RNA
ENSG00000251983	7SK	5	61442492	61442773	1	misc_RNA
ENSG00000207439	Y_RNA	5	64419196	64419301	1	misc_RNA
ENSG00000222762	7SK	5	68266266	68266579	-1	misc_RNA
ENSG00000206770	Y_RNA	5	72064529	72064638	1	misc_RNA
ENSG00000200833	Y_RNA	5	72395900	72396009	1	misc_RNA
ENSG00000206714	Y_RNA	5	77612860	77612961	1	misc_RNA
ENSG00000201955	Y_RNA	5	78466057	78466158	-1	misc_RNA
ENSG00000207391	Y_RNA	5	78830676	78830777	1	misc_RNA
ENSG00000253073	7SK	5	82981685	82981837	1	misc_RNA
ENSG00000251951	7SK	5	86398420	86398663	-1	misc_RNA
ENSG00000200884	Y_RNA	5	96298360	96298461	-1	misc_RNA
ENSG00000200351	Y_RNA	5	98272342	98272451	-1	misc_RNA
ENSG00000199378	Y_RNA	5	99357508	99357610	1	misc_RNA
ENSG00000207269	7SK	5	100068762	100069090	1	misc_RNA
ENSG00000222987	7SK	5	101638208	101638514	1	misc_RNA
ENSG00000251732	7SK	5	107146330	107146625	1	misc_RNA
ENSG00000207404	Y_RNA	5	108227138	108227247	1	misc_RNA
ENSG00000202512	7SK	5	109035201	109035535	-1	misc_RNA
ENSG00000253057	7SK	5	111055466	111055758	-1	misc_RNA
ENSG00000222706	7SK	5	113589210	113589451	1	misc_RNA
ENSG00000202105	Y_RNA	5	122846130	122846231	-1	misc_RNA
ENSG00000222107	7SK	5	124686561	124686824	-1	misc_RNA
ENSG00000207290	Y_RNA	5	127706792	127706905	-1	misc_RNA
ENSG00000202533	Y_RNA	5	131803839	131803949	1	misc_RNA
ENSG00000202417	Y_RNA	5	132281034	132281146	1	misc_RNA
ENSG00000199677	Y_RNA	5	132328791	132328892	-1	misc_RNA
ENSG00000202030	Vault	5	135416186	135416286	-1	misc_RNA
ENSG00000253015	7SK	5	138668727	138669054	-1	misc_RNA
ENSG00000207020	Y_RNA	5	138934485	138934586	-1	misc_RNA
ENSG00000207317	Y_RNA	5	139399077	139399177	1	misc_RNA
ENSG00000199990	Vault	5	140090860	140090958	1	misc_RNA
ENSG00000202111	Vault	5	140098510	140098598	1	misc_RNA
ENSG00000202515	Vault	5	140105743	140105831	1	misc_RNA
ENSG00000201423	7SK	5	143914917	143915233	-1	misc_RNA
ENSG00000200161	7SK	5	148495741	148496043	-1	misc_RNA
ENSG00000200334	Y_RNA	5	149319593	149319694	-1	misc_RNA
ENSG00000199409	Y_RNA	5	149477969	149478069	1	misc_RNA
ENSG00000222102	7SK	5	151083850	151084139	-1	misc_RNA
ENSG00000199398	Y_RNA	5	159435452	159435553	1	misc_RNA
ENSG00000252794	7SK	5	165036446	165036684	1	misc_RNA
ENSG00000202345	Y_RNA	5	168218503	168218615	1	misc_RNA
ENSG00000206741	Y_RNA	5	172206985	172207097	-1	misc_RNA
ENSG00000207210	Y_RNA	5	172479455	172479558	-1	misc_RNA
ENSG00000201277	Y_RNA	5	172681193	172681293	-1	misc_RNA
ENSG00000222111	7SK	5	175055191	175055465	1	misc_RNA
ENSG00000207420	Y_RNA	5	175983705	175983806	1	misc_RNA
ENSG00000252464	7SK	5	178046729	178046999	-1	misc_RNA
ENSG00000222448	7SK	5	179272832	179273152	1	misc_RNA
ENSG00000252202	Y_RNA	5	179274035	179274130	-1	misc_RNA
ENSG00000222852	Y_RNA	5	180336838	180336927	1	misc_RNA
ENSG00000252633	7SK	Y	7192338	7192636	-1	misc_RNA
ENSG00000251996	Y_RNA	Y	7209572	7209683	1	misc_RNA
ENSG00000199214	Y_RNA	15	26063130	26063217	1	misc_RNA
ENSG00000238783	Y_RNA	15	30647639	30647743	1	misc_RNA
ENSG00000206846	Y_RNA	15	30965953	30966046	1	misc_RNA
ENSG00000201084	Y_RNA	15	32467448	32467552	-1	misc_RNA
ENSG00000200008	Y_RNA	15	34014693	34014797	1	misc_RNA
ENSG00000207091	Y_RNA	15	34606929	34607029	1	misc_RNA
ENSG00000206676	Y_RNA	15	37343029	37343131	-1	misc_RNA
ENSG00000201509	Y_RNA	15	38834444	38834544	1	misc_RNA
ENSG00000200305	Y_RNA	15	40214983	40215087	-1	misc_RNA
ENSG00000202211	Y_RNA	15	43539878	43539979	1	misc_RNA
ENSG00000200391	Y_RNA	15	44156091	44156203	-1	misc_RNA
ENSG00000206957	Y_RNA	15	44989531	44989628	-1	misc_RNA
ENSG00000238845	Y_RNA	15	45135810	45135922	1	misc_RNA
ENSG00000252171	Y_RNA	15	45339301	45339413	-1	misc_RNA
ENSG00000200419	Y_RNA	15	45884182	45884283	1	misc_RNA
ENSG00000223308	7SK	15	47012391	47012710	-1	misc_RNA
ENSG00000222343	7SK	15	47564794	47565086	1	misc_RNA
ENSG00000202542	Y_RNA	15	48617755	48617868	-1	misc_RNA
ENSG00000207105	Y_RNA	15	49288109	49288219	-1	misc_RNA
ENSG00000200120	Y_RNA	15	49429959	49430060	-1	misc_RNA
ENSG00000200605	Y_RNA	15	50514085	50514193	1	misc_RNA
ENSG00000207484	Y_RNA	15	52176753	52176850	1	misc_RNA
ENSG00000206995	Y_RNA	15	52454948	52455049	1	misc_RNA
ENSG00000199730	7SK	15	58996051	58996353	-1	misc_RNA
ENSG00000200252	Y_RNA	15	59701104	59701214	1	misc_RNA
ENSG00000200606	Y_RNA	15	59867827	59867922	-1	misc_RNA
ENSG00000201071	Y_RNA	15	64403657	64403768	-1	misc_RNA
ENSG00000206781	Y_RNA	15	64737329	64737442	-1	misc_RNA
ENSG00000207223	Y_RNA	15	64945087	64945188	1	misc_RNA
ENSG00000252217	Y_RNA	15	65795079	65795174	1	misc_RNA
ENSG00000223271	Y_RNA	15	66640614	66640713	1	misc_RNA
ENSG00000207395	Y_RNA	15	69698780	69698891	1	misc_RNA
ENSG00000199580	Y_RNA	15	75275615	75275717	-1	misc_RNA
ENSG00000201510	7SK	15	77028982	77029321	1	misc_RNA
ENSG00000200142	Y_RNA	15	91520438	91520535	-1	misc_RNA
ENSG00000222617	7SK	15	97029812	97030121	1	misc_RNA
ENSG00000223120	7SK	15	97385299	97385614	1	misc_RNA
ENSG00000201724	Y_RNA	15	100221991	100222082	-1	misc_RNA
ENSG00000212306	Y_RNA	15	101178568	101178662	1	misc_RNA
ENSG00000223145	7SK	2	7281358	7281675	-1	misc_RNA
ENSG00000207086	Y_RNA	2	9755396	9755502	1	misc_RNA
ENSG00000222842	7SK	2	17304108	17304407	-1	misc_RNA
ENSG00000200829	Y_RNA	2	20680605	20680716	1	misc_RNA
ENSG00000222616	7SK	2	23084424	23084756	1	misc_RNA
ENSG00000207069	Y_RNA	2	25231714	25231815	-1	misc_RNA
ENSG00000201160	Y_RNA	2	25919945	25920057	-1	misc_RNA
ENSG00000222224	Y_RNA	2	29150109	29150206	-1	misc_RNA
ENSG00000200283	Y_RNA	2	29195280	29195387	-1	misc_RNA
ENSG00000206951	Y_RNA	2	33170406	33170518	-1	misc_RNA
ENSG00000202309	Y_RNA	2	39355967	39356068	-1	misc_RNA
ENSG00000207218	Y_RNA	2	42084411	42084512	-1	misc_RNA
ENSG00000194270	Y_RNA	2	42865101	42865188	1	misc_RNA
ENSG00000207411	Y_RNA	2	43848017	43848123	-1	misc_RNA
ENSG00000252490	7SK	2	43999259	43999489	-1	misc_RNA
ENSG00000222685	7SK	2	47586644	47586916	-1	misc_RNA
ENSG00000201010	7SK	2	48444714	48445038	1	misc_RNA
ENSG00000202195	Y_RNA	2	52525133	52525234	1	misc_RNA
ENSG00000206964	Y_RNA	2	55513154	55513264	1	misc_RNA
ENSG00000202344	7SK	2	56178789	56179149	-1	misc_RNA
ENSG00000252436	Y_RNA	2	62953771	62953875	-1	misc_RNA
ENSG00000199964	Y_RNA	2	65061190	65061291	-1	misc_RNA
ENSG00000251900	Vault	2	65782566	65782668	-1	misc_RNA
ENSG00000252250	Y_RNA	2	69561732	69561824	1	misc_RNA
ENSG00000200488	7SK	2	76672205	76672536	-1	misc_RNA
ENSG00000251947	7SK	2	76822539	76822804	-1	misc_RNA
ENSG00000201311	Y_RNA	2	82534191	82534292	-1	misc_RNA
ENSG00000239143	Y_RNA	2	85560018	85560119	-1	misc_RNA
ENSG00000202382	Y_RNA	2	85594708	85594809	1	misc_RNA
ENSG00000207207	Y_RNA	2	85661630	85661742	1	misc_RNA
ENSG00000199936	Y_RNA	2	85687267	85687375	-1	misc_RNA
ENSG00000252321	7SK	2	86047558	86047735	-1	misc_RNA
ENSG00000200241	Y_RNA	2	86387079	86387189	-1	misc_RNA
ENSG00000202012	Y_RNA	2	88529088	88529183	-1	misc_RNA
ENSG00000207383	Y_RNA	2	113337061	113337161	-1	misc_RNA
