GeneID	Influencia_Combinada	Cor_Log2FC_TEA_M_vs_C	log10p_M_vs_Controle	log2FC_F_vs_M_TEA
AC015871.3	0.784616396	1.563128906	2.56884772	-0.006103886
AC015871.8	1.2718680815	2.140112351	1.602146727	0.403623812
AC015912.2	1.1863238235	0.792040784	0.848349782	1.580606863
AC016571.1	1.1557169155	-0.740444601	0.418093713	1.57098923
AC016583.1	1.1256049315	2.217533075	3.647325586	-0.033676788
AC016590.2	1.2022610475	1.7512893	2.528786761	-0.653232795
AC016739.1	1.604519758	-1.423038559	2.432444467	-1.786000957
AC016876.1	0.8395791015	0.497119628	0.790696987	-1.182038575
AC016888.1	1.2826364405	0.368181898	0.516662545	-2.197090983
AC017104.5	1.5706513700000002	1.844942843	1.408503619	-1.296359897
AC017116.2	0.7907587345	1.322280186	1.586605646	-0.259237283
AC018445.5	2.9322167390000002	2.488321491	1.679752621	-3.376111987
AC018450.1	0.927925561	-1.627458021	1.536053003	-0.228393101
AC018475.1	1.8422840385	-3.463447313	1.330218537	0.221120764
AC018529.3	1.542470442	1.759692908	1.994067895	-1.325247976
AC018607.1	1.5248793575	3.025427866	1.33353574	-0.024330849
AC018644.1	1.065499736	-0.653400673	0.399066365	1.477598799
AC018690.1	2.6704595985	-3.483342058	2.384284048	1.857577139
AC018755.3	1.6334040975	0.481481976	0.556769503	-2.785326219
AC018926.3	1.3854690525	2.372090525	1.408689802	0.39884758
AC019226.1	1.8340723375	1.372480136	1.794143789	-2.295664539
AC020656.2	1.2924812504999998	2.365857646	1.755495131	0.219104855
AC020663.3	1.1236817305	-1.775260144	1.570639236	-0.472103317
AC020765.2	0.7412702330000001	-1.380770191	1.331909348	0.101770275
AC020910.5	1.262032217	-1.702962565	1.384548114	-0.821101869
AC020915.1	0.7396303575000001	1.072754073	1.406557706	-0.406506642
AC020917.4	0.934785771	1.414662816	2.640364468	-0.454908726
AC020978.6	1.7058345765	2.095495675	1.893138696	-1.316173478
AC021106.1	1.6615616815	3.187390639	1.650953632	-0.135732724
AC021127.1	0.941780909	1.662572114	2.30016602	-0.220989704
AC021148.2	1.8965186955000002	-2.173309472	1.77639375	1.619727919
AC021188.1	1.0364510685	0.17084193	0.523564706	-1.902060207
AC021205.3	0.868504976	1.640496472	2.127875789	-0.09651348
AC021321.1	1.4490638765000001	2.246030402	2.553938083	-0.652097351
AC021683.5	1.557409944	2.313428768	2.486000024	-0.80139112
AC021752.1	0.972238011	-0.323496622	0.272680767	-1.6209794
AC022182.1	1.2282727235	1.842925545	1.590070681	-0.613619902
AC022217.3	1.2286369945	0.828841749	1.078788181	1.62843224
AC022306.2	0.9717387980000001	-0.264520888	0.182791407	1.678956708
AC022364.1	2.177646657	1.046583961	1.802890275	-3.308709353
AC022400.6	0.7200798095	-1.342511791	1.801140182	0.097647828
AC022506.2	1.337155972	2.544968049	1.33224813	0.129343895
AC022558.3	0.9852489445	0.349518489	0.388541302	-1.6209794
AC022762.2	1.573458908	3.043766664	2.772939101	-0.103151152
AC022916.3	1.603800252	1.928990089	2.11984046	-1.278610415
AC023024.1	1.163695523	0.168290109	0.190162171	-2.159100937
AC023157.2	0.8503945675	1.569930393	1.412141013	0.130858742
AC023355.1	1.6299411940000001	1.748277268	3.127396845	-1.51160512
AC023830.3	0.658501357	1.181479282	1.61318625	-0.135523432
AC023908.3	1.3584467139999998	2.654754921	2.318068595	-0.062138507
AC024084.1	0.919829347	-1.634968274	1.36136682	0.20469042
AC024257.2	2.209996237	-2.200142247	1.058107532	2.219850227
AC024257.3	1.210121949	2.392029305	1.330461837	-0.028214593
AC024270.4	1.1790615625	1.784746175	1.447787043	0.57337695
AC024293.1	1.1210575855	-2.135407237	1.397890224	0.106707934
AC024575.1	0.689738249	1.017679849	1.564164201	-0.361796649
AC025162.2	1.2084795015	2.35060834	2.382374851	-0.066350663
AC025165.2	1.2973337695	-0.838552733	0.494678902	1.756114806
AC025171.5	0.853954661	-0.702223398	0.7404029	1.005685924
AC025181.2	0.721649851	-1.202256353	2.103978769	0.241043349
AC025265.1	1.320727577	-0.42601173	0.306494126	-2.215443424
AC025287.3	1.0837305275	1.7385866	1.784962055	-0.428874455
AC025594.2	1.343742987	-2.562450676	1.559625378	0.125035298
AC026124.2	1.967857541	-2.900018472	1.583792862	1.03569661
AC026333.4	1.0963239165	-1.20074304	0.648286043	0.991904793
AC026362.1	1.283443164	1.56379996	1.664087019	-1.003086368
AC026403.1	1.8144744529999999	-3.240628745	1.616002112	0.388320161
AC026471.1	1.0029488545	1.290743242	1.340522778	-0.715154467
AC026471.2	1.3304388735	-1.40918319	1.199531703	1.251694557
AC026979.2	1.1959266645	-2.343458532	1.494776441	0.048394797
AC027309.2	0.999730266	-0.92052873	0.755766311	1.078931802
AC027373.1	0.719024296	0.392888797	0.397038026	1.045159795
AC027607.1	1.10151506	1.285719287	2.161996226	-0.917310833
AC027682.4	0.6648822125	1.270105121	1.468715085	-0.059659304
AC027682.7	1.285118982	2.54917108	1.480758465	-0.021066884
AC027702.1	0.9801835645000001	-0.500373861	0.856202265	-1.459993268
AC034236.1	2.0259621814999997	-3.045437534	1.807647931	1.006486829
AC035139.1	1.0411051935	1.661177429	1.472561347	0.421032958
AC040169.1	0.938863461	-1.682014878	1.485751628	0.195712044
AC040934.1	0.637746261	1.268369887	2.000626143	0.007122635
AC044787.1	1.086850181	-1.713707094	2.130093965	-0.459993268
AC044849.1	2.760798633	-4.873173498	1.777264262	0.648423768
AC046134.2	0.908444692	0.571755586	1.887108854	-1.245133798
AC046143.2	1.343234438	-0.260100252	0.088966865	2.426368624
AC051619.5	1.5429416705	-1.048090712	0.937702656	2.037792629
AC055839.1	1.284173139	1.961060692	2.790572826	0.607285586
AC060766.4	1.1734743495	1.344043699	1.400885088	-1.002905
AC060766.5	1.618673464	1.72832629	1.103596296	1.509020638
AC060780.1	0.7361421065	1.403581844	3.826419684	0.068702369
AC063977.1	1.727003961	3.02699942	1.759690029	-0.427008502
AC063977.2	1.2204917725	2.167226812	2.167589678	-0.273756733
AC064799.1	0.953021436	-1.792796096	1.461607016	0.113246776
AC064801.2	1.193395135	0.081430103	0.03998597	2.305360167
AC064805.1	0.5587668689999999	-0.108771097	0.125345244	1.008762641
AC067930.3	1.2795814005000001	-0.589157728	0.34088304	1.970005073
AC068205.2	1.8165350145	3.514922608	1.517555854	-0.118147421
AC068522.1	1.5404332735000001	-2.088961754	0.857663855	0.991904793
AC068620.2	1.371533272	1.845194417	1.403831256	-0.897872127
AC068669.1	1.1734085950000002	1.256043969	1.58569385	-1.090773221
AC068722.2	2.2416355145	-3.958902352	1.334603733	0.524368677
AC068880.4	0.9434825944999999	-0.265513162	0.16991886	-1.621452027
AC069213.1	1.34173716	0.254802391	0.434690494	-2.428671929
AC069528.2	1.1415803595	1.64498592	1.713974981	0.638174799
AC073195.1	1.0826776905	1.46642998	3.754372438	-0.698925401
AC073343.2	1.778360947	1.184571383	2.759071629	-2.372150511
AC073476.2	1.236091789	2.055374981	3.78168257	-0.416808597
AC073534.2	1.486268365	-1.262737117	1.651627133	1.709799613
AC073548.1	0.9229540279999999	-0.749572053	0.84761289	1.096336003
AC073575.2	0.9875046310000001	-1.588050286	1.910047713	-0.386958976
AC073842.2	0.8865966205	1.423292784	1.505107646	0.349900457
AC073861.1	2.2994454424999997	-3.116848222	1.670917995	1.482042663
AC078817.1	1.071120073	-2.017270913	1.52917778	0.124969233
AC079148.1	1.204391893	-2.188933559	2.128828926	0.219850227
AC079174.2	0.796560207	1.221944972	1.452359918	-0.371175442
AC079250.1	0.9765919165	-1.831648389	1.854494158	0.121535444
AC079331.2	0.7402792305	0.352670887	0.609105358	-1.127887574
AC079610.1	2.1605600815	1.592849977	3.385958194	-2.728270186
AC079848.1	0.815949924	-0.38801079	0.460400608	1.243889058
AC079921.2	1.3028264525	1.543039828	1.778967698	1.062613077
AC079922.1	1.860071339	-2.498189429	1.348047777	1.221953249
AC080013.1	0.70339094	1.147912906	2.53729335	0.258868974
AC084824.4	0.7475818165000001	1.023902185	2.81769799	-0.471261448
AC084824.5	0.6350302919999999	0.12890078	0.099239233	-1.141159804
AC087284.1	1.5176810745	2.518436456	1.37209946	-0.516925693
AC087289.1	0.7054961550000001	1.084898783	1.894587096	-0.326093527
AC087362.2	1.4664633365	-0.486953938	0.199257294	2.445972735
AC087741.1	0.9417592905	-0.696592106	1.027525041	1.186926475
AC087741.3	1.7613840374999998	2.705648507	3.984304153	-0.817119568
AC090114.3	1.0049040505	1.543973607	2.357614858	-0.465834494
AC090181.2	1.2172399409999999	-2.075589788	1.590200016	-0.358890094
AC090204.1	0.7396364185000001	-1.252825145	2.269120921	0.226447692
AC090739.1	1.038932914	0.498933705	0.471261212	-1.578932123
AC090948.1	0.978601857	-1.557248961	1.668516706	-0.399954753
AC091045.1	2.24274316	0.95723821	1.435396288	-3.52824811
AC091180.4	1.1702610565	1.625414345	1.33850648	0.715107768
AC091180.5	0.8444510015	1.361857384	1.934335128	-0.327044619
AC091181.1	1.273417007	1.49699781	1.780611528	-1.049836204
AC091271.1	0.7404029605	0.15662225	0.225472617	1.324183671
AC092017.1	1.245289588	-1.084359617	0.832484314	1.406219559
AC092053.5	1.0055675819999998	1.340659358	1.676304216	-0.670475806
AC092070.2	0.971606589	1.44214911	1.6619163	0.501064068
AC092111.1	0.9844023909999999	-0.781058098	0.896827405	-1.187746684
AC092115.3	1.1963099165	-0.267782721	0.133203055	2.124837112
AC092117.1	1.211080608	1.367191242	2.044223767	-1.054969974
AC092118.2	1.2151941385	-0.002902583	0.001130177	2.427485694
AC092123.1	0.8453764445	-0.457108007	0.318489416	1.233644882
AC092127.1	1.58538685	1.3674748	3.021689839	-1.8032989
AC092139.2	0.8498274880000001	1.476556481	1.357078252	-0.223098495
AC092145.1	2.380374556	4.501472139	1.54581689	0.259276973
AC092329.4	0.828559089	1.069139382	1.43779752	-0.587978796
AC092428.1	0.7014284144999999	1.305007911	2.567701541	0.097848918
AC092471.1	1.2497190765	1.02533194	0.993066017	1.474106213
AC092490.1	4.153551203	3.869317876	4.418269451	-4.43778453
AC092535.2	1.2780033745	-1.214315399	2.394740681	1.34169135
AC092653.2	1.5695282565	1.942203357	3.174512072	-1.196853156
AC092683.1	1.5723541625	-1.133973637	0.946164666	2.010734688
AC092718.6	1.000499627	-1.845510862	1.589495543	-0.155488392
AC092746.1	2.675598173	3.988902413	1.062861434	1.362293933
AC092821.3	0.721043418	-1.013766975	1.433612341	0.428319861
AC092910.3	1.280497764	2.125897297	1.558887982	0.435098231
AC093010.1	0.9382169754999999	1.132795246	2.552797083	-0.743638705
AC093297.2	0.6470987985	1.241098201	2.74100766	0.053099396
AC093462.1	1.103278143	-0.928395425	0.570179851	-1.278160861
AC093503.2	1.7211103095	0.172590325	0.100213712	-3.269630294
AC093583.1	1.2236786984999999	-0.368893687	0.172081348	2.07846371
AC093591.1	0.8187252095	-1.527741937	2.227042337	-0.109708482
AC093827.4	1.28262388	1.329248564	1.854609259	-1.235999196
AC093928.1	0.9959539260000001	-1.201423694	1.341379246	-0.790484158
AC095055.1	3.2179195720000004	-4.512797692	1.424618944	1.923041452
AC096887.2	1.799580965	1.041722108	1.054490541	-2.557439822
AC096921.2	0.975553746	-1.051957378	1.253398142	-0.899150114
AC097534.1	2.350099465	2.303647002	1.351537199	-2.396551928
AC098591.3	2.007377425	-2.25679713	1.089900891	1.75795772
AC099336.2	1.2640103219999999	-2.235285634	1.544232688	-0.29273501
AC099343.2	1.8089177515000001	3.275119543	1.640817723	-0.34271596
AC099489.2	2.048377457	2.91149954	1.130188917	1.185255374
AC099521.2	1.7173796135	2.713732397	1.508265646	-0.72102683
AC099524.1	1.090263625	2.027285182	1.593445202	0.153242068
AC099560.2	1.034620836	-1.06684776	1.304486825	-1.002393912
AC099791.2	0.982210845	1.495918802	1.69179551	0.468502888
AC100827.2	1.065713282	-1.291152038	1.482271723	0.840274526
AC100830.1	1.5162676835	-2.439477659	1.438285875	-0.593057708
AC103858.3	1.5677920134999999	2.963048651	2.242431314	0.172535376
AC104109.4	1.1839095095	-1.832781744	1.714760962	-0.535037275
AC104447.1	0.868591858	1.426928412	1.469821837	0.310255304
AC104530.1	1.137251736	1.768648005	2.040250825	-0.505855467
AC104563.1	1.016134402	-1.872923735	1.963539526	-0.159345069
AC104619.3	0.966892423	-1.378460259	1.301202345	0.555324587
AC104806.2	1.014564267	-1.417475744	1.946449314	-0.61165279
AC104971.3	1.327820301	0.490205634	0.764174131	-2.165434968
AC105052.4	1.12317704	-1.313788529	1.960536071	-0.932565551
AC105339.2	1.001122979	1.613124859	2.43641686	0.389121099
AC106028.3	1.5687748555	2.720914748	1.970900373	0.416634963
AC106037.2	1.4135010035	2.648939339	2.585200836	0.178062668
AC106782.4	1.8837957215	1.506921664	2.269138167	-2.260669779
AC107983.1	1.9165693485	-1.878930661	1.661126971	-1.954208036
AC108134.3	0.7797472535	1.395744801	2.554270078	-0.163749706
AC108448.2	1.743552098	-2.867934704	2.432540645	0.619169492
AC108471.2	1.0372135205	1.008005117	1.362053382	1.066421924
AC108479.1	1.8513205510000001	1.632321012	1.659671829	-2.07032009
AC108519.1	1.002574368	-0.141765615	0.203997125	-1.863383121
AC108673.2	1.2210418415	-2.04595484	1.440828616	0.396128843
AC108704.2	1.213903488	2.097169062	3.432506374	0.330637914
AC109454.2	0.9869245090000001	0.879212144	0.725769705	1.094636874
AC110048.2	1.030673255	1.332911773	1.629778376	-0.728434737
AC112484.1	1.5893179895	1.335762272	1.462810163	-1.842873707
AC112484.5	1.8564124865	2.521038898	1.304745325	-1.191786075
AC112496.1	1.7760434925000002	3.270897445	2.502892772	0.28118954
AC113935.1	1.1798802575	-1.674460264	1.688729414	0.685300251
AC114490.2	0.6496465295	-1.02914216	1.890541717	0.270150899
AC114495.2	1.165876779	-1.116532926	0.659371651	1.215220632
AC114728.1	1.251183755	-1.640432683	1.94095133	0.861934827
AC116158.1	0.608574318	-0.126546087	0.123757343	-1.090602549
AC116353.6	1.0493795485000001	1.598981248	1.836142704	0.499777849
AC116407.1	1.3441407054999999	-0.260236858	0.090082815	2.428044553
AC116407.2	0.8733096915	-0.199933504	0.145504212	1.546685879
AC116533.1	1.4307610895	-2.222812056	2.033084907	0.638710123
AC118344.2	0.88093033	1.45825997	2.062645286	-0.30360069
AC118553.1	1.113595965	-1.055425582	0.915064892	1.171766348
AC118658.1	1.6633715800000002	-3.224615287	1.522584618	0.102127873
AC119403.1	1.3192799385	0.795838171	1.41670059	-1.842721706
AC120053.1	1.0252505514999999	1.753882558	4.675933572	-0.296618545
AC120114.3	0.955484499	1.841160547	3.091683307	-0.069808451
AC124068.2	1.0977037405	-0.389324216	0.183359122	1.806083265
AC124319.3	2.440843964	3.714978044	1.802181942	1.166709884
AC127070.4	0.852853017	1.178257692	1.446865514	0.527448342
AC127521.1	0.73325819	1.440882972	1.344428317	-0.025633408
AC129492.1	0.8780452	1.192559062	2.317332327	-0.563531338
AC130456.3	2.6960113155	4.635675094	2.118496507	-0.756347537
AC131009.4	1.099435341	1.892341325	2.188193158	-0.306529357
AC131235.1	1.28320323	-2.097903572	1.66375128	0.468502888
AC132872.2	2.486413692	-2.981645324	2.46135396	1.99118206
AC132872.4	1.3681380994999999	-2.727867129	1.433658436	-0.00840907
AC132938.3	0.7545864	-0.409522568	0.519990293	-1.099650232
AC132938.5	1.0280139005	1.868417037	3.324448562	0.187610764
AC133134.1	1.699207685	-2.326589448	2.029980216	1.071825922
AC133644.1	1.313034858	-1.009315842	0.910760954	1.616753874
AC134312.3	1.9454018585	-1.686113297	1.644621321	2.20469042
AC134682.1	2.2048306920000003	-1.945838066	1.336402122	2.463823318
AC134772.1	1.297581294	-1.973944474	1.43954597	0.621218114
AC135048.4	1.3165209455000002	-2.389156697	1.329715533	-0.243885194
AC135721.1	1.2863763285	-1.051551657	1.516860319	1.521201
AC136475.2	1.033534888	-1.540480769	1.635033721	0.526589007
AC137630.3	2.172714533	-4.173048413	1.689473729	0.172380653
AC137630.4	0.987170764	1.235893653	1.675626244	-0.738447875
AC138035.1	1.3913099114999998	2.218724417	1.805255432	0.563895406
AC139494.1	0.911374071	0.678788651	0.684695057	1.143959491
AC139530.1	0.6980478050000001	-1.366428616	1.401877861	-0.029666994
AC139530.3	1.361305263	2.501372538	1.309353672	0.221237988
AC144530.1	0.9149608215	-0.651580175	0.879397937	-1.178341468
AC145423.2	1.1411623535	1.982581385	1.445416229	0.299743322
AC183084.1	1.6223298115	0.431980713	0.32547655	2.81267891
AC211476.6	0.9346271475	1.529742422	1.940479201	-0.339511873
AC215522.2	1.4242675025	2.610989398	1.652612928	0.237545607
AC231981.1	1.4575770165	2.737879328	1.338396577	0.177274705
AC241585.2	0.917001547	-1.350942303	1.372314812	-0.483060791
AC244034.2	0.9897434975	-1.085169496	0.588001109	0.894317499
AC244502.1	1.240093158	2.279779382	2.846358516	0.200406934
AC245049.1	0.592618567	0.000858606	0.00104048	-1.184378528
AC245060.4	1.113266106	0.406004283	0.139815156	1.820527929
AC245297.1	1.1346455180000001	-2.100376085	1.890375299	-0.168914951
AC253572.1	0.959871224	-0.57456275	0.255618041	1.345179698
AC254813.1	1.228474509	-1.349737769	1.367026338	1.107211249
ACCS	1.2305182615	-1.008660915	0.720499294	1.452375608
ACE	1.2135391195	-1.136838547	1.679454384	1.290239692
ACER1	0.7748272925	-1.352677141	1.67336605	0.196977444
ACOT7	0.689737607	-1.258139381	2.052828506	-0.121335833
ACSS3	2.0556764955	3.831857412	1.938657348	0.279495579
ACTA1	1.633129856	-1.335936961	0.649161256	1.930322751
ACTG1P3	1.6727005524999998	-2.513798637	2.80168427	0.831602468
ACTN4P1	0.802372646	1.175870837	1.382544759	-0.428874455
ACTR3	0.5474538265	1.017136235	2.046955321	0.077771418
ACVR2A	0.6342278325	-1.03487572	1.37970224	0.233579945
ACVRL1	0.821834693	-0.630737153	0.455868735	1.012932233
ACY3	1.1942874209999998	-1.164399422	0.959289684	1.22417542
ADAM15	0.7144163175	-1.000532145	2.282847293	0.42830049
ADAM23	1.1526839905	-0.920001363	0.763547231	1.385366618
ADAM8	0.6197250240000001	1.138599203	1.362685666	-0.100850845
ADAMTSL4-AS1	1.9649161615	3.260739133	1.316240288	0.66909319
ADAMTSL5	0.880356052	-1.142921906	1.539248686	0.617790198
ADGRA2	0.9281432974999999	-1.332679754	2.423100769	0.523606841
ADGRA3	1.5241759185	-0.743855021	0.816129325	-2.304496816
ADGRG3	1.4518219719999998	2.630064068	1.358113382	0.273579876
ADIPOR1	0.9311145460000001	1.286004928	1.341954702	-0.576224164
ADORA3	2.4486136815	3.492592612	2.66523969	-1.404634751
ADRB2	1.083287744	1.596210251	1.908348553	-0.570365237
AEBP1	0.8560195555	-0.428037607	0.658049751	-1.284001504
AEN	0.6601975790000001	-1.001002538	2.163184088	0.31939262
